City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sal Rei,CV,16.1833,-22.9167,73.6,60,75,6.91,broken clouds
1,Severo-Kurilsk,RU,50.6789,156.125,23.18,76,5,4.7,clear sky
2,Chegem,RU,43.2833,43.1333,19.53,91,100,1.52,light snow
3,Hami,CN,42.8,93.45,49.41,24,0,3.31,clear sky
4,Bluff,NZ,-46.6,168.3333,55.0,81,10,1.12,clear sky
5,Vaini,TO,-21.2,-175.2,73.56,88,40,4.61,scattered clouds
6,Harrison,US,30.4091,-89.0436,64.06,63,0,0.0,clear sky
7,Maragogi,BR,-9.0122,-35.2225,83.41,74,98,10.02,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,78.76,74,6,14.25,clear sky
9,Albany,US,42.6001,-73.9662,45.95,70,100,1.99,overcast clouds
10,Bandarbeyla,SO,9.4942,50.8122,80.06,58,0,10.87,clear sky
11,Sola,VU,-13.8833,167.55,82.29,73,100,8.79,overcast clouds
12,Ancud,CL,-41.8697,-73.8203,55.22,91,100,8.55,light rain
13,Busselton,AU,-33.65,115.3333,64.51,91,100,14.97,overcast clouds
14,Shubarshi,KZ,48.5872,57.1869,31.62,92,100,9.51,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,80.11,43,20,14.97,few clouds
16,Neka,IR,36.6508,53.299,54.91,67,0,6.91,clear sky
17,Ribeira Grande,PT,38.5167,-28.7,57.6,82,75,25.32,mist
18,Anito,PH,12.4497,125.2886,78.66,87,24,6.42,few clouds
19,Wanning,CN,18.8003,110.3967,78.49,94,82,8.19,broken clouds
20,Atuona,PF,-9.8,-139.0333,78.73,75,90,18.21,overcast clouds
21,Kahului,US,20.8947,-156.47,71.83,88,100,5.99,light rain
22,Umm Kaddadah,SD,13.6017,26.6876,83.93,8,16,21.7,few clouds
23,Hobart,AU,-42.8794,147.3294,59.25,91,1,1.14,clear sky
24,Alihe,CN,50.5667,123.7167,21.58,96,100,3.24,overcast clouds
25,Bubaque,GW,11.2833,-15.8333,78.06,51,39,8.1,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,55.02,81,75,5.75,broken clouds
27,Kodiak,US,57.79,-152.4072,29.71,93,0,3.44,clear sky
28,Bhatkal,IN,13.9667,74.5667,82.62,79,41,9.42,scattered clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,20,12.66,few clouds
30,Khatanga,RU,71.9667,102.5,-9.11,99,28,6.73,scattered clouds
31,Xinyang,CN,32.1228,114.0656,56.79,72,100,5.03,overcast clouds
32,Touros,BR,-5.1989,-35.4608,85.75,64,100,10.98,moderate rain
33,Ndele,CF,8.4109,20.6473,104.18,6,89,10.27,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,58.91,74,1,2.3,clear sky
35,Geraldton,AU,-28.7667,114.6,73.81,94,40,3.44,scattered clouds
36,Coihaique,CL,-45.5752,-72.0662,57.81,67,75,5.75,broken clouds
37,Akdepe,TM,42.0551,59.3788,46.49,48,69,22.41,broken clouds
38,Terney,RU,45.0503,136.6092,35.44,99,100,4.25,overcast clouds
39,Paamiut,GL,61.994,-49.6678,24.15,64,49,10.31,scattered clouds
40,Mar Del Plata,AR,-38.0023,-57.5575,65.08,95,75,18.01,light intensity drizzle
41,Carnarvon,AU,-24.8667,113.6333,78.87,69,75,8.05,broken clouds
42,Urubicha,BO,-15.3833,-62.95,77.27,56,86,2.66,overcast clouds
43,Amapa,BR,1.0,-52.0,74.41,98,100,4.72,overcast clouds
44,Panuco,MX,22.05,-98.1667,64.58,57,3,4.68,clear sky
45,Port Alfred,ZA,-33.5906,26.891,67.17,82,100,3.0,overcast clouds
46,Manakara,MG,-22.1333,48.0167,81.68,80,25,6.67,scattered clouds
47,Te Anau,NZ,-45.4167,167.7167,49.19,97,34,1.9,scattered clouds
48,Barra Do Garcas,BR,-15.89,-52.2567,86.58,66,20,0.0,few clouds
49,Hilo,US,19.7297,-155.09,68.11,79,20,4.61,few clouds
50,Hauterive,FR,46.0901,3.4459,68.76,36,0,7.16,clear sky
51,Yeppoon,AU,-23.1333,150.7333,73.18,67,100,13.02,overcast clouds
52,Daru,PG,-9.0763,143.2092,79.29,86,94,6.06,overcast clouds
53,Evensk,RU,61.95,159.2333,4.8,78,99,7.4,overcast clouds
54,Barrow,US,71.2906,-156.7887,-3.98,77,0,19.57,haze
55,Kelowna,CA,49.8831,-119.4857,44.82,74,100,2.3,overcast clouds
56,Anadyr,RU,64.75,177.4833,9.1,85,75,2.24,light snow
57,Bengkulu,ID,-3.8004,102.2655,80.65,78,100,5.59,overcast clouds
58,Saint George,US,37.1041,-113.5841,52.39,30,0,0.0,clear sky
59,Butaritari,KI,3.0707,172.7902,79.56,77,100,11.01,overcast clouds
60,Khandyga,RU,62.6667,135.6,-9.85,100,88,1.83,overcast clouds
61,Plettenberg Bay,ZA,-34.0527,23.3716,67.98,71,54,13.71,broken clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,62,0,10.36,clear sky
63,Mgachi,RU,51.05,142.2667,28.98,97,100,5.06,light snow
64,Mahebourg,MU,-20.4081,57.7,82.69,78,40,5.75,scattered clouds
65,Wichita,US,37.6922,-97.3375,45.82,57,75,9.22,broken clouds
66,Chokurdakh,RU,70.6333,147.9167,0.84,95,100,11.03,overcast clouds
67,Salas,ES,43.4118,-6.2602,60.35,51,50,4.97,scattered clouds
68,Punta Arenas,CL,-53.15,-70.9167,51.91,58,75,9.22,broken clouds
69,Norman Wells,CA,65.282,-126.8329,-12.96,77,75,2.3,broken clouds
70,Bethel,US,41.3712,-73.414,50.9,65,75,6.91,broken clouds
71,Saint-Philippe,RE,-21.3585,55.7679,83.79,84,52,7.9,light rain
72,Kapaa,US,22.0752,-159.319,70.12,78,0,14.97,clear sky
73,Manggar,ID,-2.8833,108.2667,80.19,80,56,2.04,broken clouds
74,Goedereede,NL,51.8175,3.9806,65.97,75,0,14.12,clear sky
75,Hermanus,ZA,-34.4187,19.2345,75.79,56,4,18.52,clear sky
76,Yellowknife,CA,62.456,-114.3525,-16.71,69,40,10.36,scattered clouds
77,Reconquista,AR,-29.15,-59.65,69.57,64,0,9.91,clear sky
78,Bakchar,RU,57.0186,82.0711,11.89,91,11,4.99,few clouds
79,Thunder Bay,CA,48.4001,-89.3168,15.3,60,100,19.57,overcast clouds
80,Chuy,UY,-33.6971,-53.4616,69.6,65,90,16.75,overcast clouds
81,Kununurra,AU,-15.7667,128.7333,80.58,78,14,8.05,few clouds
82,Asau,RO,46.4333,26.4,63.52,44,6,12.21,clear sky
83,Santa Cruz,BO,-17.8,-63.1667,77.05,57,75,16.11,broken clouds
84,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,100,6.85,light rain
85,Lorengau,PG,-2.0226,147.2712,81.39,77,90,8.5,overcast clouds
86,Tiksi,RU,71.6872,128.8694,-12.77,100,100,2.82,overcast clouds
87,Naze,JP,28.3667,129.4833,61.72,81,30,13.4,scattered clouds
88,Qaanaaq,GL,77.484,-69.3632,-1.62,84,98,4.65,overcast clouds
89,Puerto Ayacucho,VE,5.6639,-67.6236,78.55,83,100,4.92,overcast clouds
90,Morgantown,US,39.6295,-79.9559,38.5,80,100,10.36,overcast clouds
91,Iasmos,GR,41.1333,25.1833,53.92,51,20,8.99,few clouds
92,Bredasdorp,ZA,-34.5322,20.0403,70.63,58,60,18.21,broken clouds
93,Chingirlau,KZ,51.095,54.0814,30.61,89,100,2.59,overcast clouds
94,Edson,CA,53.5835,-116.4356,21.34,93,100,6.91,overcast clouds
95,Athens,GR,37.9795,23.7162,66.36,46,20,8.05,few clouds
96,Souillac,MU,-20.5167,57.5167,82.78,78,40,5.75,scattered clouds
97,La Rioja,ES,42.25,-2.5,47.98,42,88,9.89,overcast clouds
98,Ponta Do Sol,PT,32.6667,-17.1,65.03,77,100,13.13,overcast clouds
99,Hervey Bay,AU,-25.2986,152.8535,75.56,75,100,11.99,overcast clouds
100,Olga,RU,43.7444,135.2892,37.56,94,100,7.0,overcast clouds
101,Duluth,US,46.7833,-92.1066,18.88,57,100,17.27,overcast clouds
102,Aklavik,CA,68.2191,-135.0107,-11.2,77,20,5.75,few clouds
103,Mataura,NZ,-46.1927,168.8643,47.41,99,21,0.89,few clouds
104,Langenburg,DE,49.2544,9.8458,63.91,25,0,10.36,clear sky
105,Rawson,AR,-43.3002,-65.1023,65.43,44,97,22.88,overcast clouds
106,Isangel,VU,-19.55,169.2667,76.87,79,49,7.81,scattered clouds
107,Lagoa,PT,39.05,-27.9833,57.15,93,100,12.77,overcast clouds
108,Port Elizabeth,ZA,-33.918,25.5701,68.31,80,40,8.05,scattered clouds
109,Ostrovnoy,RU,68.0531,39.5131,22.35,65,100,21.39,overcast clouds
110,Inhambane,MZ,-23.865,35.3833,73.42,89,100,5.86,overcast clouds
111,Sao Filipe,CV,14.8961,-24.4956,70.68,75,2,12.77,clear sky
112,Srednekolymsk,RU,67.45,153.6833,2.93,95,100,12.44,overcast clouds
113,Klaksvik,FO,62.2266,-6.589,47.32,83,100,20.42,overcast clouds
114,Sovetskaya Gavan,RU,48.9723,140.2878,28.74,98,100,10.04,snow
115,Victoria Point,AU,-27.5833,153.3,71.91,89,100,1.99,overcast clouds
116,Port Lincoln,AU,-34.7333,135.8667,63.59,80,5,10.42,clear sky
117,Pervomayskoye,RU,43.919,46.7102,43.18,72,100,10.22,overcast clouds
118,Pyshchug,RU,58.8873,45.7134,32.9,98,100,10.31,snow
119,Cayenne,GF,4.9333,-52.3333,84.09,1,75,16.11,broken clouds
120,Vanimo,PG,-2.6741,141.3028,79.05,84,99,6.26,overcast clouds
121,Progreso,MX,21.2833,-89.6667,73.11,49,65,11.05,broken clouds
122,Santana,BR,-0.0583,-51.1817,86.18,79,75,6.91,broken clouds
123,Vardo,NO,70.3705,31.1107,24.91,78,100,29.51,snow
124,Portland,US,45.5234,-122.6762,51.42,89,100,4.61,overcast clouds
125,Usinsk,RU,65.9939,57.5281,12.54,87,84,11.1,broken clouds
126,Provideniya,RU,64.3833,-173.3,13.28,96,100,4.27,light snow
127,Caravelas,BR,-17.7125,-39.2481,87.28,52,83,7.2,broken clouds
128,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,74,75,19.57,broken clouds
129,Cabo San Lucas,MX,22.8909,-109.9124,69.51,55,100,1.32,overcast clouds
130,Ordzhonikidze,KZ,52.4411,61.7408,17.53,90,100,11.16,overcast clouds
131,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,75,18.97,broken clouds
132,Dicabisagan,PH,17.0818,122.4157,79.39,86,3,3.65,clear sky
133,Port-Gentil,GA,-0.7193,8.7815,87.76,70,40,9.22,scattered clouds
134,Barbosa Ferraz,BR,-24.03,-52.0117,72.0,80,94,3.0,overcast clouds
135,Jiayuguan,CN,39.8167,98.3,41.11,23,68,3.38,broken clouds
136,Kupang,ID,-10.1667,123.5833,78.3,87,13,2.48,few clouds
137,Acahay,PY,-25.9167,-57.15,72.46,56,0,2.21,clear sky
138,Tasiilaq,GL,65.6145,-37.6368,28.56,84,44,4.61,scattered clouds
139,Mbekenyera,TZ,-10.0,38.9833,78.33,88,38,1.52,light rain
140,Katsuura,JP,35.1333,140.3,64.42,94,100,39.19,moderate rain
141,Krapivinskiy,RU,54.9992,86.8133,8.28,97,91,3.29,overcast clouds
142,Faya,SA,18.3851,42.4509,69.91,50,0,6.15,clear sky
143,Diego De Almagro,CL,-26.3667,-70.05,75.99,23,0,5.23,clear sky
144,Ust-Nera,RU,64.5667,143.2,-10.7,100,88,3.02,overcast clouds
145,Grindavik,IS,63.8424,-22.4338,46.87,100,100,28.77,light intensity drizzle rain
146,Awjilah,LY,29.1081,21.2869,72.7,14,0,10.49,clear sky
147,Kharp,RU,66.8014,65.8081,1.38,97,61,5.06,broken clouds
148,Saldanha,ZA,-33.0117,17.9442,80.65,69,76,11.34,broken clouds
149,Kostino,RU,58.9097,53.2691,30.56,94,100,14.56,light snow
150,Chapais,CA,49.7834,-74.8492,28.18,93,100,5.44,overcast clouds
151,Auki,SB,-8.7676,160.7034,77.11,89,100,4.5,overcast clouds
152,Fort Nelson,CA,58.8053,-122.7002,13.59,79,100,0.0,overcast clouds
153,Cidreira,BR,-30.1811,-50.2056,71.85,60,26,15.12,scattered clouds
154,Sur,OM,22.5667,59.5289,83.89,36,1,1.92,clear sky
155,Bay Saint Louis,US,30.3088,-89.33,66.07,69,0,0.0,clear sky
156,Salym,RU,60.0625,71.4789,14.86,92,21,6.64,few clouds
157,Zheleznodorozhnyy,RU,55.7503,38.0042,39.72,71,48,11.97,scattered clouds
158,Eureka,US,40.8021,-124.1637,43.99,78,100,2.48,overcast clouds
159,Acapulco,MX,16.8634,-99.8901,75.02,73,100,4.61,overcast clouds
160,Nikolskoye,RU,59.7035,30.7861,30.87,89,100,17.81,light snow
161,Aksu,CN,41.1231,80.2644,53.71,37,97,4.99,overcast clouds
162,Wilmington,US,34.2257,-77.9447,61.0,48,0,9.22,clear sky
163,Mosquera,CO,4.7059,-74.2302,59.09,72,40,3.44,scattered clouds
164,Avarua,CK,-21.2078,-159.775,75.25,100,100,13.8,moderate rain
165,Georgetown,MY,5.4112,100.3354,84.15,84,20,5.99,light rain
166,Saint Anthony,US,45.0205,-93.218,23.05,51,0,23.02,clear sky
167,Thompson,CA,55.7435,-97.8558,-16.44,69,0,9.22,clear sky
168,Tumsar,IN,21.3833,79.7333,90.48,15,74,2.33,broken clouds
169,Yambio,SS,4.5721,28.3955,96.42,16,82,5.84,broken clouds
170,Hithadhoo,MV,-0.6,73.0833,83.95,67,7,13.89,clear sky
171,Janauba,BR,-15.8025,-43.3089,91.22,32,5,7.25,clear sky
172,San Andres,CO,12.5847,-81.7006,84.22,65,40,9.22,scattered clouds
173,Fuxin,CN,42.0156,121.6589,42.3,30,100,16.82,overcast clouds
174,Moerai,PF,-22.4333,-151.3333,79.9,77,89,9.01,light rain
175,Jamestown,US,42.097,-79.2353,35.53,66,100,11.5,light snow
176,Arman,RU,59.7,150.1667,-6.99,87,17,6.82,few clouds
177,Luderitz,NA,-26.6481,15.1594,69.94,63,0,13.47,clear sky
178,Mount Gambier,AU,-37.8333,140.7667,51.71,100,75,0.0,fog
179,Pevek,RU,69.7008,170.3133,-13.47,96,42,6.33,scattered clouds
180,Chernyshevskiy,RU,63.0128,112.4714,-1.1,100,50,2.24,scattered clouds
181,Cherskiy,RU,68.75,161.3,-23.53,100,96,4.38,overcast clouds
182,Broken Hill,AU,-31.95,141.4333,73.11,40,44,11.5,scattered clouds
183,Fortuna,US,40.5982,-124.1573,43.72,93,0,8.05,clear sky
184,Roald,NO,62.5833,6.1333,45.34,56,75,3.44,broken clouds
185,Kolvereid,NO,64.8655,11.6047,35.58,57,100,8.12,overcast clouds
186,Orlik,RU,52.5178,99.825,-0.96,93,52,4.45,broken clouds
187,Soyo,AO,-6.1349,12.3689,84.43,76,75,11.27,light rain
188,Longyearbyen,SJ,78.2186,15.6401,3.04,66,40,2.3,scattered clouds
189,Waipawa,NZ,-41.4122,175.5153,54.75,88,98,11.54,overcast clouds
190,Alice Springs,AU,-23.7,133.8833,69.22,32,4,0.0,clear sky
191,Valley City,US,46.9233,-98.0032,16.32,53,0,13.8,clear sky
192,Graham,US,47.0529,-122.2943,46.81,92,100,3.44,overcast clouds
193,Sitka,US,57.0531,-135.33,33.69,80,0,3.44,clear sky
194,Maniitsoq,GL,65.4167,-52.9,21.96,70,100,5.21,overcast clouds
195,Lahij,YE,13.1667,44.5833,80.6,54,87,10.27,overcast clouds
196,Butembo,CD,0.15,29.2833,63.81,83,90,2.46,light rain
197,Chitungwiza,ZW,-18.0127,31.0756,68.04,89,86,7.23,moderate rain
198,Pacific Grove,US,36.6177,-121.9166,51.91,93,100,4.61,overcast clouds
199,Lagunas,PE,-5.2269,-75.6753,74.86,94,100,1.88,overcast clouds
200,Acajutla,SV,13.5928,-89.8275,84.6,45,43,4.07,scattered clouds
201,Dakar,SN,14.6937,-17.4441,86.88,68,0,13.8,clear sky
202,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,100,100,28.77,light rain
203,Mahanoro,MG,-19.9,48.8,79.95,84,2,7.38,clear sky
204,Yerbogachen,RU,61.2767,108.0108,12.15,94,99,4.41,overcast clouds
205,Lompoc,US,34.6391,-120.4579,53.13,96,100,4.61,fog
206,Bloomfield,US,40.8068,-74.1854,52.05,59,100,11.5,overcast clouds
207,Moa,CU,20.6569,-74.9403,81.61,65,66,6.76,broken clouds
208,Nago,JP,26.5881,127.9761,66.63,89,100,10.36,overcast clouds
209,Dikson,RU,73.5069,80.5464,0.9,85,100,11.92,overcast clouds
210,Yulara,AU,-25.2406,130.9889,76.84,29,3,9.22,clear sky
211,Rhondda,GB,51.659,-3.4489,60.06,58,0,15.19,clear sky
212,Nueve De Julio,AR,-35.4444,-60.8831,68.2,66,46,10.63,scattered clouds
213,Nuevo Progreso,MX,23.1667,-97.95,70.47,40,3,10.09,clear sky
214,Shevchenkove,UA,49.6959,37.1735,50.97,51,100,21.9,overcast clouds
215,Taikang,CN,46.8333,124.4167,33.4,62,91,15.9,overcast clouds
216,Faanui,PF,-16.4833,-151.75,81.79,72,71,14.74,broken clouds
217,Paita,PE,-5.0892,-81.1144,71.11,88,100,6.46,light rain
218,Yerky,UA,48.9906,30.9882,56.35,42,100,20.67,overcast clouds
219,Upernavik,GL,72.7868,-56.1549,7.11,87,100,2.26,overcast clouds
220,Alekseyevka,RU,50.6309,38.6903,44.38,71,100,19.77,overcast clouds
221,Quatre Cocos,MU,-20.2078,57.7625,82.51,77,6,8.16,clear sky
222,Kuroiso,JP,36.9667,140.05,55.24,98,100,9.4,light rain
223,Taloqan,AF,36.7361,69.5345,67.87,35,100,7.43,overcast clouds
224,Onega,RU,63.9061,38.1404,22.73,88,100,22.32,light snow
225,Broome,US,42.2506,-75.833,42.37,85,100,11.5,light rain
226,Dawlatabad,AF,36.4141,64.9053,60.17,46,56,9.28,broken clouds
227,Fort Frances,CA,48.5999,-93.4003,11.16,70,40,17.27,scattered clouds
228,Negara,ID,-8.3151,114.6025,77.9,89,83,1.72,broken clouds
